Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
54.0,Travel_Rarely,685,Sales,3,3,Life Sciences,1,1250,4,Male,85,3,4,Research Director,4,Married,17779,23474,3.0,Y,No,14,3,1,80,0.0,28.5,2.0,3,10.0,9.0,0.0,9.0
51.0,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2.0,Y,No,15,3,4,80,0.0,18.0,2.0,3,4.0,2.0,0.0,3.0
25.0,Travel_Rarely,309,Sales,2,3,Human Resources,1,1987,3,Female,82,3,1,Human Resources,2,Married,"$2,187.00",19655,4.0,Y,No,14,3,3,80,0.0,6.0,3.0,3,2.0,0.0,1.0,2.0
37.0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4.0,Y,No,21,3,1,80,0.0,8.0,1.0,3,1.0,0.0,0.0,0.0
58.0,Travel_Rarely,1055,Research & Development,1,3,Medical,1,1423,4,Female,76,3,5,Research Director,1,Married,"$19,701.00",22456,3.0,Y,Yes,21,3,3,80,1.0,10.0,3.0,3,9.0,8.0,1.0,5.0
28.0,Non-Travel,1103,Research & Development,16,3,Medical,1,1947,3,Male,49,3,1,Research Scientist,3,Single,2144,2122,1.0,Y,No,14,3,3,80,0.0,5.0,3.0,2,5.0,3.0,1.0,4.0
46.0,Travel_Rarely,563,Sales,1,4,Life Sciences,1,1602,4,Male,56,4,4,Manager,1,Single,17567,3156,1.0,Y,No,15,3,2,80,0.0,27.0,4.5,1,20.5,0.0,0.0,12.0
33.0,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,702,1,Male,70,3,1,Research Scientist,1,Single,3348,3164,1.0,Y,Yes,11,3,1,80,0.0,10.0,3.0,3,10.0,8.0,7.5,7.0
20.0,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1.0,Y,Yes,18,3,2,80,0.0,1.0,4.5,3,1.0,0.0,1.0,0.0
35.0,Travel_Rarely,1146,Human Resources,26,4,Life Sciences,1,2040,3,Female,31,3,3,Human Resources,4,Single,8837,16642,1.0,Y,Yes,16,3,3,80,0.0,9.0,2.0,3,9.0,0.0,1.0,7.0
18.0,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,8018,1.0,Y,No,16,3,3,80,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
27.0,Travel_Rarely,954,Sales,9,3,Marketing,1,1965,4,Male,44,3,2,Sales Executive,4,Single,"$4,105.00",5099,1.0,Y,No,14,3,1,80,0.0,7.0,4.5,3,7.0,7.0,0.0,7.0
41.0,Travel_Rarely,1283,Sales,5,5,Medical,1,1448,2,Male,90,4,1,Research Scientist,3,Married,2127,5561,2.0,Y,Yes,12,3,1,80,0.0,7.0,4.5,2,4.0,2.0,0.0,3.0
29.0,Travel_Rarely,590,Sales,4,3,Technical Degree,1,1762,4,Female,91,2,1,Research Scientist,1,Divorced,2109,10007,1.0,Y,No,13,3,3,80,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0
29.0,Travel_Rarely,1090,Sales,10,3,Marketing,1,766,4,Male,83,3,1,Sales Representative,2,Divorced,2297,17967,1.0,Y,No,14,3,4,80,2.0,2.0,2.0,3,2.0,2.0,2.0,2.0
29.0,Travel_Rarely,1246,Sales,19,3,Life Sciences,1,1497,3,Male,77,2,2,Sales Executive,3,Divorced,8620,23757,1.0,Y,No,14,3,3,80,2.0,10.0,3.0,3,10.0,7.0,0.0,4.0
38.0,Travel_Rarely,702,Sales,1,4,Life Sciences,1,230,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4.0,Y,No,22,3,3,80,0.0,12.0,2.0,4,8.0,3.0,0.0,7.0
40.0,Travel_Rarely,1416,Sales,2,2,Medical,1,352,1,Male,49,3,5,Research Director,3,Divorced,"$19,436.00",5949,0.0,Y,No,19,3,4,80,1.0,22.0,4.5,3,20.5,7.0,3.0,9.0
45.0,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5.0,Y,No,13,3,2,80,0.0,9.0,2.0,2,6.0,5.0,0.0,3.0
35.0,Travel_Rarely,287,Research & Development,1,4,Life Sciences,1,2052,3,Female,62,1,1,Research Scientist,4,Married,2977,8952,1.0,Y,No,12,3,4,80,1.0,4.0,4.5,3,4.0,3.0,1.0,1.0
31.0,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,11557,25291,8.5,Y,No,21,3,3,80,1.0,10.0,3.0,2,5.0,4.0,0.0,1.0
24.0,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,"$3,597.00",6409,8.0,Y,No,22,3,4,80,0.0,6.0,2.0,3,4.0,3.0,1.0,2.0
39.0,Travel_Rarely,492,Research & Development,12,3,Medical,1,1654,4,Male,66,3,2,Manufacturing Director,2,Married,5295,7693,4.0,Y,No,21,3,3,80,0.0,7.0,3.0,3,5.0,4.0,1.0,0.0
40.0,Travel_Rarely,448,Research & Development,16,3,Life Sciences,1,1641,3,Female,84,3,3,Manufacturing Director,4,Single,7945,19948,6.0,Y,Yes,15,3,4,80,0.0,18.0,2.0,2,4.0,2.0,3.0,3.0
43.0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1.0,Y,No,11,3,2,80,1.0,9.0,3.0,4,9.0,7.0,0.0,0.0
46.0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5.0,Y,No,11,3,4,80,0.0,28.0,3.0,2,2.0,2.0,1.0,2.0
30.0,Travel_Rarely,1092,Research & Development,10,3,Medical,1,1816,1,Female,64,3,3,Manufacturing Director,3,Single,9667,2739,8.5,Y,No,14,3,2,80,0.0,9.0,3.0,3,7.0,7.0,0.0,2.0
40.0,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,2012,1,Male,83,3,1,Laboratory Technician,4,Married,2406,4060,8.0,Y,No,19,3,3,80,2.0,8.0,3.0,2,1.0,0.0,0.0,0.0
33.0,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1.0,Y,Yes,13,3,2,80,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0
24.0,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,"$4,377.00",24117,1.0,Y,No,15,3,2,80,2.0,5.0,4.5,3,4.0,2.0,3.0,2.0
45.0,Travel_Rarely,176,Human Resources,4,3,Life Sciences,1,1744,3,Female,56,1,3,Human Resources,3,Married,9756,6595,4.0,Y,No,21,3,3,80,2.0,9.0,2.0,4,5.0,0.0,0.0,3.0
39.0,Travel_Frequently,766,Sales,20,3,Life Sciences,1,1812,3,Male,83,3,2,Sales Executive,4,Divorced,4127,19188,2.0,Y,No,18,3,4,80,1.0,7.0,4.5,3,2.0,1.0,2.0,2.0
28.0,Travel_Rarely,1083,Research & Development,29,1,Life Sciences,1,1514,3,Male,96,1,2,Manufacturing Director,2,Married,6549,3173,1.0,Y,No,14,3,2,80,2.0,8.0,2.0,2,8.0,6.0,1.0,7.0
27.0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1.0,Y,No,13,3,4,80,1.0,1.0,4.5,3,1.0,0.0,0.0,0.0
36.0,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,"$3,388.00",21777,0.0,Y,Yes,17,3,1,80,1.0,2.0,0.5,2,1.0,0.0,0.0,0.0
37.0,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4.0,Y,Yes,13,3,1,80,2.0,13.0,2.0,3,7.0,7.0,6.0,7.0
43.0,Travel_Frequently,775,Sales,15,3,Life Sciences,1,754,4,Male,47,2,2,Sales Executive,4,Married,6804,23683,3.0,Y,No,18,3,3,80,1.0,7.0,4.5,3,2.0,2.0,2.0,2.0
33.0,Travel_Frequently,1111,Sales,5,1,Life Sciences,1,1395,2,Male,61,3,2,Sales Executive,4,Married,9998,19293,6.0,Y,No,13,3,1,80,0.0,8.0,2.0,4,5.0,4.0,1.0,2.0
20.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1.0,Y,No,19,3,2,80,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0
49.0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,1617,3,Female,84,3,1,Laboratory Technician,1,Married,3211,22102,1.0,Y,No,14,3,4,80,1.0,10.0,3.0,2,9.0,6.0,1.0,4.0
36.0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434,3,Female,85,3,1,Research Scientist,2,Single,"$2,478.00",20938,1.0,Y,Yes,12,3,2,80,0.0,4.0,2.0,2,4.0,3.0,1.0,2.0
46.0,Travel_Rarely,377,Sales,9,3,Marketing,1,1457,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4.0,Y,No,11,3,1,80,1.0,28.0,1.0,4,7.0,7.0,4.0,3.0
46.0,Travel_Rarely,228,Sales,3,3,Life Sciences,1,1527,3,Female,51,3,4,Manager,2,Married,"$16,606.00",11380,8.0,Y,No,12,3,4,80,1.0,23.0,2.0,4,13.0,12.0,5.0,1.0
33.0,Non-Travel,1283,Sales,2,3,Marketing,1,1756,4,Female,62,3,2,Sales Executive,2,Single,5147,10697,8.0,Y,No,15,3,4,80,0.0,13.0,2.0,2,11.0,7.0,1.0,7.0
35.0,Travel_Rarely,1229,Sales,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1.0,Y,No,19,3,4,80,0.0,1.0,2.0,3,20.5,0.0,0.0,1.0
45.0,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,8.5,Y,No,14,3,1,80,2.0,12.0,3.0,3,10.0,9.0,7.5,8.0
50.0,Travel_Frequently,959,Sales,1,4,Other,1,1113,4,Male,81,3,2,Sales Executive,3,Single,4728,17251,3.0,Y,Yes,14,3,4,80,0.0,5.0,4.0,3,0.0,0.0,0.0,0.0
43.0,Travel_Rarely,1034,Sales,16,3,Marketing,1,327,4,Female,80,3,4,Manager,4,Married,16064,7744,5.0,Y,Yes,22,3,3,80,1.0,22.0,3.0,3,17.0,13.0,1.0,9.0
42.0,Travel_Rarely,1128,Research & Development,13,3,Medical,1,1803,2,Male,95,4,2,Healthcare Representative,1,Married,"$5,538.00",5696,5.0,Y,No,18,3,3,80,2.0,10.0,2.0,2,0.0,0.0,0.0,0.0
31.0,Travel_Rarely,1003,Sales,5,3,Technical Degree,1,1749,1,Male,51,3,2,Sales Executive,3,Married,8346,20943,1.0,Y,No,19,3,3,80,1.0,6.0,3.0,3,5.0,2.0,0.0,2.0
36.0,Travel_Rarely,1490,Research & Development,7,4,Life Sciences,1,1484,3,Male,35,3,3,Healthcare Representative,2,Divorced,"$10,466.00",20948,3.0,Y,No,14,3,2,80,2.0,28.5,3.0,3,8.0,7.0,0.0,7.0
39.0,Travel_Rarely,613,Research & Development,6,1,Medical,1,2062,4,Male,42,2,3,Healthcare Representative,1,Married,9991,21457,4.0,Y,No,15,3,1,80,1.0,9.0,4.5,3,7.0,7.0,1.0,7.0
40.0,Travel_Rarely,1202,Research & Development,2,1,Medical,1,1375,2,Female,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5.0,Y,No,20,3,2,80,2.5,15.0,0.5,3,12.0,11.0,7.5,8.0
32.0,Travel_Rarely,601,Sales,7,5,Marketing,1,1446,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4.0,Y,No,12,3,3,80,1.0,7.0,3.0,2,4.0,3.0,0.0,3.0
35.0,Travel_Frequently,146,Research & Development,2,4,Medical,1,1704,1,Male,79,2,1,Research Scientist,4,Single,4930,13970,0.0,Y,Yes,14,3,3,80,0.0,6.0,2.0,4,5.0,4.0,1.0,4.0
41.0,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1.0,Y,No,16,3,3,80,1.0,10.0,2.0,3,10.0,7.0,0.0,7.0
40.0,Travel_Frequently,692,Research & Development,11,3,Technical Degree,1,1985,4,Female,73,3,2,Laboratory Technician,3,Married,6323,26849,1.0,Y,No,11,3,1,80,1.0,10.0,2.0,4,10.0,9.0,7.5,4.0
36.0,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,"$3,407.00",6986,7.0,Y,No,23,3,2,80,0.0,10.0,4.0,3,5.0,3.0,0.0,3.0
32.0,Travel_Rarely,977,Research & Development,2,3,Medical,1,1671,4,Male,45,3,2,Research Scientist,2,Divorced,5470,25518,0.0,Y,No,13,3,3,80,2.0,10.0,4.0,2,9.0,5.0,1.0,6.0
25.0,Travel_Rarely,882,Research & Development,19,1,Medical,1,1358,4,Male,67,3,1,Laboratory Technician,4,Married,3669,9075,3.0,Y,No,11,3,3,80,2.5,7.0,4.5,2,3.0,2.0,1.0,2.0
36.0,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1.0,Y,No,24,3,1,80,2.0,2.0,4.5,3,2.0,2.0,2.0,2.0
42.0,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4.0,Y,No,17,3,4,80,1.0,8.0,4.0,3,2.0,2.0,2.0,0.0
58.5,Travel_Rarely,1429,Research & Development,18,4,Medical,1,1283,4,Male,67,3,3,Manufacturing Director,4,Single,10512,20002,6.0,Y,No,12,3,4,80,0.0,25.0,4.5,2,9.0,7.0,5.0,4.0
35.0,Travel_Frequently,138,Sales,2,3,Medical,1,269,2,Female,37,3,2,Laboratory Technician,2,Single,4425,15986,5.0,Y,No,11,3,4,80,0.0,10.0,4.5,3,6.0,2.0,1.0,2.0
19.0,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,"$2,325.00",20989,0.0,Y,No,21,3,1,80,0.0,1.0,4.5,4,0.0,0.0,0.0,0.0
34.0,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,1,1140,4,Male,95,3,2,Manufacturing Director,3,Single,4033,15834,2.0,Y,No,11,3,4,80,0.0,5.0,3.0,2,3.0,2.0,0.0,2.0
45.0,Travel_Rarely,252,Research & Development,2,3,Life Sciences,1,834,2,Female,95,2,1,Research Scientist,3,Single,2274,6153,1.0,Y,No,14,3,4,80,0.0,1.0,3.0,3,1.0,0.0,0.0,0.0
29.0,Travel_Rarely,341,Sales,1,3,Medical,1,896,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6.0,Y,Yes,19,3,3,80,2.5,5.0,3.0,3,3.0,2.0,0.0,2.0
31.0,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4.0,Y,No,11,3,2,80,1.0,10.0,3.0,2,8.0,7.0,7.0,7.0
34.0,Travel_Rarely,1351,Research & Development,1,4,Life Sciences,1,1580,2,Male,45,3,2,Research Scientist,4,Married,5484,13008,8.5,Y,No,17,3,2,80,1.0,9.0,3.0,2,2.0,2.0,2.0,1.0
27.0,Travel_Rarely,1354,Research & Development,2,4,Technical Degree,1,1931,2,Male,41,3,1,Research Scientist,2,Married,2226,6073,1.0,Y,No,11,3,3,80,1.0,6.0,3.0,2,5.0,3.0,1.0,2.0
36.0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4.0,Y,No,13,3,2,80,1.0,6.0,3.0,3,2.0,2.0,2.0,2.0
43.0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,1,1255,3,Male,96,1,5,Research Director,4,Married,19740,18625,3.0,Y,No,14,3,2,80,1.0,25.0,2.0,3,8.0,7.0,0.0,7.0
22.0,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,"$2,871.00",23785,1.0,Y,No,15,3,3,80,0.0,1.0,4.5,3,0.0,0.0,0.0,0.0
30.0,Travel_Frequently,721,R&D,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1.0,Y,No,23,3,4,80,0.0,12.0,2.0,3,12.0,8.0,3.0,7.0
39.0,Travel_Rarely,141,Human Resources,3,3,Human Resources,1,760,3,Female,44,4,2,Human Resources,2,Married,6389,18767,8.5,Y,No,15,3,3,80,1.0,12.0,3.0,1,8.0,3.0,3.0,6.0
37.0,Travel_Rarely,309,Sales,10,4,Life Sciences,1,1105,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,2.0,Y,Yes,14,3,3,80,2.5,8.0,4.5,3,1.0,0.0,0.0,0.0
39.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,1307,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6.0,Y,Yes,13,3,4,80,2.0,21.0,4.0,3,19.0,9.0,7.5,2.0
31.0,Travel_Rarely,196,Sales,29,4,Marketing,1,1784,1,Female,91,2,2,Sales Executive,4,Married,5468,13402,1.0,Y,No,14,3,1,80,2.0,13.0,3.0,3,12.0,7.0,5.0,7.0
39.0,Travel_Rarely,170,Research & Development,3,2,Medical,1,1627,3,Male,76,2,2,Laboratory Technician,3,Divorced,"$3,069.00",10302,0.0,Y,No,15,3,4,80,1.0,11.0,3.0,3,10.0,8.0,0.0,7.0
36.0,Travel_Rarely,618,Research & Development,4,3,Life Sciences,1,933,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1.0,Y,No,19,3,3,80,0.0,1.0,2.0,3,1.0,1.0,0.0,0.0
30.0,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,297,4,Female,88,3,1,Research Scientist,1,Single,2657,8556,5.0,Y,Yes,11,3,3,80,0.0,8.0,4.5,3,5.0,2.0,0.0,4.0
49.0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,638,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1.0,Y,Yes,17,3,3,80,1.0,28.5,4.5,3,20.5,9.0,0.0,9.0
34.0,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1,1344,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0.0,Y,No,11,3,4,80,1.0,10.0,0.5,2,9.0,7.0,1.0,6.0
34.0,Travel_Frequently,829,Research & Development,15,3,Medical,1,1485,2,Male,71,3,4,Research Director,1,Divorced,17007,11929,7.0,Y,No,14,3,4,80,2.0,16.0,3.0,2,14.0,8.0,6.0,9.0
37.0,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4.0,Y,No,13,3,1,80,0.0,16.0,3.0,4,5.0,2.0,0.0,2.0
58.5,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7.0,Y,No,11,3,4,80,0.0,28.0,3.0,2,20.5,14.5,7.0,9.0
21.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1.0,Y,No,11,3,3,80,0.0,3.0,2.0,3,3.0,2.0,1.0,2.0
46.0,Travel_Rarely,526,Sales,1,2,Marketing,1,244,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1.0,Y,No,25,3,3,80,2.5,24.0,2.0,3,20.5,13.0,7.5,7.0
36.0,Travel_Rarely,117,Research & Development,9,3,Medical,1,1238,1,Male,60,3,1,Research Scientist,4,Married,2781,6311,0.0,Y,No,13,3,2,80,1.0,15.0,4.5,3,14.0,10.0,4.0,10.0
35.0,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1,1412,3,Male,60,3,3,Manufacturing Director,4,Single,"$9,362.00",19944,2.0,Y,No,11,3,3,80,0.0,10.0,2.0,3,2.0,2.0,2.0,2.0
33.0,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,1560,1,Male,46,3,2,Sales Executive,1,Married,6392,10589,2.0,Y,No,13,3,4,80,1.0,10.0,4.5,1,2.0,2.0,2.0,2.0
31.0,Travel_Rarely,1154,Sales,2,2,Life Sciences,1,1996,1,Male,54,3,1,Sales Representative,3,Married,"$3,067.00",6393,0.0,Y,No,19,3,3,80,1.0,3.0,1.0,3,2.0,2.0,1.0,2.0
35.0,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2.0,Y,Yes,13,3,3,80,1.0,10.0,3.0,3,4.0,0.0,2.0,3.0
39.0,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4.0,Y,No,14,3,3,80,1.0,17.0,1.0,4,15.0,11.0,5.0,9.0
38.0,Travel_Frequently,1391,Research & Development,10,1,Medical,1,1006,3,Male,66,3,1,Research Scientist,3,Married,"$2,684.00",12127,0.0,Y,No,17,3,2,80,1.0,3.0,0.5,2,2.0,1.0,0.0,2.0
55.0,Travel_Rarely,189,Human Resources,26,4,Human Resources,1,1973,3,Male,71,4,5,Manager,2,Married,19636,25811,4.0,Y,Yes,18,3,1,80,1.0,28.5,0.5,3,10.0,9.0,1.0,4.0
38.0,Travel_Frequently,693,Research & Development,7,3,Life Sciences,1,1382,4,Male,57,4,1,Research Scientist,3,Divorced,2610,15748,1.0,Y,No,11,3,4,80,2.5,4.0,2.0,3,4.0,2.0,0.0,3.0
38.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,245,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1.0,Y,No,12,3,3,80,0.0,2.0,3.0,3,2.0,2.0,2.0,1.0
42.0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319,3,Male,58,3,5,Manager,4,Married,19232,4933,1.0,Y,No,11,3,4,80,0.0,22.0,3.0,3,20.5,14.5,7.5,14.5
40.0,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,1649,1,Male,73,3,1,Laboratory Technician,1,Single,2166,3339,3.0,Y,Yes,14,3,2,80,0.0,10.0,3.0,1,4.0,2.0,0.0,3.0
56.0,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,8.5,Y,No,11,3,4,80,2.5,28.5,0.5,2,7.0,7.0,7.0,7.0
44.0,Travel_Rarely,1376,Human Resources,1,2,Medical,1,1098,2,Male,91,2,3,Human Resources,1,Married,10482,2326,8.5,Y,No,14,3,4,80,1.0,24.0,1.0,3,20.0,6.0,3.0,6.0
34.0,Travel_Rarely,1442,Research & Development,9,3,Medical,1,717,4,Female,46,2,3,Healthcare Representative,2,Single,8621,17654,1.0,Y,No,14,3,2,80,0.0,9.0,3.0,4,8.0,7.0,7.0,7.0
42.0,Non-Travel,179,Human Resources,2,5,Medical,1,1231,4,Male,79,4,2,Human Resources,1,Married,6272,12858,7.0,Y,No,16,3,1,80,1.0,10.0,3.0,4,4.0,3.0,0.0,3.0
58.0,Travel_Rarely,605,Sales,21,3,Life Sciences,1,1938,4,Female,72,3,4,Manager,4,Married,17875,11761,4.0,Y,Yes,13,3,3,80,1.0,28.5,2.0,2,1.0,0.0,0.0,0.0
34.0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,339,4,Male,84,2,2,Manufacturing Director,1,Married,"$5,957.00",23687,6.0,Y,No,13,3,2,80,1.0,13.0,3.0,3,11.0,9.0,5.0,9.0
36.0,Travel_Rarely,1234,Sales,11,2,Life Sciences,1,1045,4,Female,90,3,4,Manager,4,Married,17650,5404,3.0,Y,No,13,3,2,80,1.0,26.0,4.0,4,9.0,3.0,1.0,1.0
31.0,Travel_Frequently,1327,Sales,3,4,Medical,1,337,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,8.5,Y,No,12,3,1,80,1.0,9.0,3.0,3,2.0,2.0,2.0,2.0
